experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2')",1,69,1939.3727,1886.1298,34.348557,1886.1298,85117.15,11795.7451171875,18595.283203125,
"host+('guest_1', 'guest_2')",1,70,1835.0089,1709.9761,32.720043,1709.9761,86181.47,11795.943359375,19173.92578125,
"host+('guest_1', 'guest_2')",1,71,1748.2305,1565.2382,31.359243,1565.2382,84143.18,11680.6201171875,18727.75390625,
"host+('guest_1', 'guest_2')",1,72,1595.8752,1447.475,30.241554,1447.475,86184.76,11583.2392578125,19205.423828125,
"host+('guest_1', 'guest_2')",1,73,1459.171,1350.6636,29.318892,1350.6636,85426.8,11832.2578125,18653.5625,
"host+('guest_1', 'guest_2')",1,74,1307.4823,1270.6868,28.52763,1270.6868,85246.414,11957.47265625,19661.443359375,
"host+('guest_1', 'guest_2')",1,75,1326.9034,1205.1779,27.853214,1205.1779,83775.03,11829.4365234375,20009.78125,
"host+('guest_1', 'guest_2')",1,76,1194.6952,1148.2555,27.258703,1148.2555,86665.24,11500.81640625,19352.220703125,
"host+('guest_1', 'guest_2')",1,77,1246.5621,1101.8649,26.783693,1101.8649,86927.984,11278.09765625,19495.0703125,
"host+('guest_1', 'guest_2')",1,78,1111.9377,1059.7559,26.332708,1059.7559,86093.27,11136.7685546875,20599.388671875,
"host+('guest_1', 'guest_2')",1,79,1096.8026,1022.86273,25.9232,1022.86273,88626.875,11429.8115234375,20344.37890625,
"host+('guest_1', 'guest_2')",1,80,1038.2085,989.5664,25.530558,989.5664,89111.17,10854.263671875,20593.431640625,
"host+('guest_1', 'guest_2')",1,81,1017.6922,960.28973,25.17195,960.28973,86895.12,10792.6513671875,20108.576171875,
"host+('guest_1', 'guest_2')",1,82,985.55,933.71423,24.829119,933.71423,87378.9,10606.931640625,21844.18359375,
"host+('guest_1', 'guest_2')",1,83,1012.15594,909.1582,24.518705,909.1582,85069.93,10462.279296875,20561.5625,
"host+('guest_1', 'guest_2')",1,84,952.21545,886.76605,24.221964,886.76605,85417.26,10881.5947265625,20648.505859375,
"host+('guest_1', 'guest_2')",1,85,928.25183,865.10315,23.947172,865.10315,85476.19,10695.4521484375,20883.38671875,
"host+('guest_1', 'guest_2')",1,86,880.044,845.22437,23.682295,845.22437,87985.4,10392.099609375,20897.19140625,
"host+('guest_1', 'guest_2')",1,87,887.3331,826.4479,23.411324,826.4479,86582.11,10403.927734375,21454.306640625,
"host+('guest_1', 'guest_2')",1,88,859.16516,808.85956,23.153818,808.85956,86186.09,10164.3232421875,20910.66015625,
"host+('guest_1', 'guest_2')",1,89,899.04047,792.63324,22.911633,792.63324,86723.13,10261.880859375,21432.70703125,
"host+('guest_1', 'guest_2')",1,90,808.25946,775.66364,22.65261,775.66364,90427.54,9936.96875,21540.005859375,
"host+('guest_1', 'guest_2')",1,91,882.6656,759.02673,22.41033,759.02673,85685.79,10077.1318359375,20765.681640625,
"host+('guest_1', 'guest_2')",1,92,834.067,743.90137,22.162207,743.90137,87588.51,9546.009765625,21140.5390625,
"host+('guest_1', 'guest_2')",1,93,747.52167,728.96814,21.938536,728.96814,86075.1,10099.8603515625,21060.158203125,
